Title,Post Id,Name of poster,Id of poster,Time,Question score,Question views,Question answers,Tags,Closed,Accepted answer
"Whats the command for:"" Do you want to become in [Creative] or [Survival] or [Adventure] or [Spectator}?"" And make it that can click that in chat, pls [duplicate]",401272,EnderDragonEP,195556,Jan 19 at 14:12,-2,48,0,['minecraft-bedrock-edition'],True,False
How to solve seemingly impossible minesweeper puzzle,401270,noob anomaly,281561,Jan 19 at 8:57,1,207,1,"['ps4', 'controllers']",True,False
How to activate all engines with a single button push?,401268,John O,133506,Jan 19 at 3:19,12,3k,3,"['controllers', 'ps5']",False,False
"Are the Precision Energy Recovery and Energy Renewal weapon mods, the same thing?",401264,Malady,108916,Jan 18 at 21:48,2,23,0,['steam'],False,False
Do talismans have an effect on Naga?,401263,Stevoisiak,181240,Jan 18 at 21:47,1,25,0,['minecraft-java-edition'],False,False
"Xbox 360 does not recognise the internal hardrive after overwriting it with the Linux ""dd"" command",401260,Mike,299202,Jan 18 at 16:45,3,104,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
What is the difference between these values on Steam?,401257,Joachim,222022,Jan 18 at 10:50,7,147,1,['yu-gi-oh-master-duel'],False,False
I can’t get the “I do” dialogue during my marriage [duplicate],401254,Billdabull,146988,Jan 18 at 5:47,2,69,0,['game-identification'],True,False
Minecraft Bedrock Server Console log chat and command executions,401253,Friendlygabe777,146988,Jan 18 at 1:15,2,96,0,['cities-skylines'],False,False
Dwarves keep dumping seeds in a corner?,401251,null,299167,Jan 17 at 23:16,27,6k,1,['minecraft-bedrock-edition'],False,False
"How is the ""additional damage"" from Chosen weaknesses calculated?",401248,Captain Hat,275557,Jan 17 at 21:13,3,67,1,"['minecraft-commands', 'cheats']",False,False
How do I turn off the daylight cycle Minecraft 1.5.2?,401247,Gabrielzv1233,299171,Jan 17 at 20:49,1,76,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How to move my save game to another PC?,401244,Juan Carlos Oropeza,137425,Jan 17 at 20:03,2,71,2,['minecraft-java-edition'],False,False
How to connect storage items with stills?,401243,null,299167,Jan 17 at 16:44,4,123,1,['fifa-18'],True,False
Teleporting mobs in a specific radius up 50 blocks relative to themself,401241,Sonicblaston,299162,Jan 17 at 13:09,2,44,1,"['pc', 'controllers']",True,False
Do enemies have elemental weaknesses?,401235,Stevoisiak,299162,Jan 17 at 4:28,1,37,0,"['minecraft-java-edition', 'mod-identification']",True,False
How can I preserve the last frame of an animation such that it doesn't return to the default position after executing?,401232,Knightproduction,275895,Jan 17 at 0:04,2,36,1,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
What are the benefits of making a perk Legendary? [duplicate],401231,Shawn B,299146,Jan 16 at 23:53,1,101,1,['genshin-impact'],False,False
How can one configure Sky Force Reloaded so that taking one's finger off doesn't slow down the game?,401229,Franck Dernoncourt,19400,Jan 16 at 19:58,1,30,0,['zelda-breath-of-the-wild'],False,False
Civilization 6 keeps crashing Windows 10,401227,swv,19400,Jan 16 at 17:20,2,59,1,['puzzle-spy'],False,False
Are there alternative ways to deal with quest Diamond City Blues?,401226,Mołot,19400,Jan 16 at 13:12,1,91,1,['borderlands-2'],False,False
What are the optimal strategies for buying and selling matches?,401225,galacticninja,4797,Jan 16 at 6:49,5,129,1,['geometry-dash'],False,False
What's this game with a cyberspace aesthetic featured in a youtube clip?,401224,codebreaker,101211,Jan 16 at 5:40,7,262,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
How do I complete 'The Devil' fortune? (Pine Tar Poker),401221,Blip8637,299125,Jan 16 at 4:53,1,157,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How can I loot a body stuck under the landscape?,401220,Roddy of the Frozen Peas,44445,Jan 15 at 23:37,3,27,0,"['controllers', 'xbox-one', 'windows-10']",False,False
When is the exp bonus applied for seasonal armour pieces?,401219,Neon1024,5357,Jan 15 at 16:40,1,47,1,['enter-the-gungeon'],False,False
What can I do with a slime hatched from a slime incubator (outdoors)?,401211,Zero,18818,Jan 14 at 17:53,3,86,1,['hi-fi-rush'],False,False
Can you close the entry gate from outside the entry area?,401209,Allen Gould,3319,Jan 14 at 15:38,0,30,0,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
Are there any minecraft mods that allow players to have a different inventory per dimension?,401208,D. Tunus,132369,Jan 14 at 13:08,1,45,0,['emperor-rise-of-the-middle-kingdom'],False,False
How did GeorgeNotFound use water on leaves without waterlogging it?,401207,Matin mohammadi,132369,Jan 14 at 12:46,4,143,1,"['agar.io', 'diep.io', 'surviv.io']",True,False
How do I tell how many challenges I have left on Halos Ultimate Weekly reward?,401201,Millard,249046,Jan 14 at 5:30,0,5,0,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
Why can't I press more than 2 keys at a time [duplicate],401200,Christian,1037,Jan 14 at 4:59,0,19,0,['unity-games'],True,False
What happens if I defeat an enemy and run out of HP at the same time?,401198,Stevoisiak,181240,Jan 14 at 2:04,0,66,2,['pokemon-go'],False,False
What is Curb Sliding in Halo Infinite?,401195,Millard,249046,Jan 13 at 18:11,0,31,1,['the-witcher-3'],False,False
How can I easily revert a starter deck to its original state?,401192,prout,205500,Jan 13 at 9:11,2,45,1,['minecraft-bedrock-edition'],False,False
How do you target a new player with a command on Minecraft 1.19.3?,401187,FracturedMentality,299020,Jan 12 at 22:36,1,48,2,"['hardware', 'nintendo-ds']",False,False
How do I enable blood/gore?,401186,childe,18916,Jan 12 at 21:27,0,122,0,"['technical-issues', 'dragonvale']",True,False
How do I get my housecarl to move with me?,401184,Phoenix Dreaming,298862,Jan 12 at 19:31,0,152,1,"['linux', 'supertux']",False,False
Have pit hacks been done of games other than super mario world?,401182,Subscribe for more Minecraft,298862,Jan 12 at 11:58,2,51,0,['hogwarts-legacy'],False,False
"When using hover text in minecraft, is there a way to keep each entity connected and displayed separately nbt?",401181,wood,298862,Jan 12 at 11:35,2,60,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Minecraft - Help my friend keeps disconnecting from my server,401180,Grimm Usagi,299005,Jan 12 at 11:18,0,38,0,['gamedec'],False,False
How to load a custom sc2Map map?,401175,Gabriel Moraru,87939,Jan 11 at 17:52,0,61,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Teammate on different turn?,401174,anonuser01,298980,Jan 11 at 13:31,1,69,0,['game-identification'],True,False
View details of past Clan War leagues,401172,Abhijithabhi,298976,Jan 11 at 10:53,0,23,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
How much grain can a giant node produce with the production per 25 perk?,401170,aphid,298976,Jan 11 at 9:53,1,42,1,['valheim'],False,False
Controller moving,401162,Bo van Nieuwstadt,298967,Jan 11 at 2:57,0,30,0,['the-sims-4'],False,False
How much health does an Apple heal?,401161,Stevoisiak,181240,Jan 11 at 2:33,1,49,1,['evil-genius-2'],False,False
How do I prioritize local hydrogen over remote hydrogen from a gas giant?,401159,Mad Scientist,4103,Jan 10 at 20:43,3,103,2,['hogwarts-legacy'],False,False
God mode in Doom 3 on Xbox Series X/S,401153,mrgou,298960,Jan 10 at 17:53,2,63,0,['hogwarts-legacy'],False,False
Open source and not for profit alternative to Metacrict and OpenCrict [closed],401152,André N. Darcie,298956,Jan 10 at 16:46,-2,68,1,"['pokemon-series', 'pokemon-second-generation']",False,False
How to mute squad member in Warzone 2.0 DMZ,401144,Nestor,298956,Jan 9 at 22:24,0,158,0,['minecraft-bedrock-edition'],True,False
Is it possible to rename pets in Skyrim?,401142,Phoenix Dreaming,298862,Jan 9 at 19:38,1,94,1,"['ps4', 'controllers']",True,False
How can I get more gold transcendent weapons and items?,401141,Neon1024,298862,Jan 9 at 18:13,4,50,0,"['controllers', 'ps5']",False,False
Does Heat Sink work after hitting the Jackpot?,401139,Stevoisiak,181240,Jan 9 at 16:31,2,30,1,['steam'],False,False
How much does Cheat Code increase Jackpot range?,401137,Stevoisiak,181240,Jan 9 at 16:07,1,23,1,['minecraft-java-edition'],False,False
Does Detonator get rid of poison?,401135,Stevoisiak,181240,Jan 9 at 14:49,0,20,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
How do I change the damage from an item?,401134,ƑĮÃŇ,298905,Jan 9 at 11:48,-1,84,1,['yu-gi-oh-master-duel'],False,False
How to fix PS3 error 80010514 (An error occured during start operation) in 2023?,401133,GhostRavenstorm,289618,Jan 9 at 6:16,3,93,0,['game-identification'],True,False
How do you make a command block activate a title when a player dummy gets 5 points?,401132,izkilluazoldyc_,298891,Jan 8 at 23:42,0,30,1,['cities-skylines'],False,False
How to make 2 execute commands function only once?,401130,ChadBroski01,296776,Jan 8 at 23:14,0,36,1,['minecraft-bedrock-edition'],False,False
"When meta-knight grabs you, is there a button you can push to avoid damage?",401128,Robert Fraser,3074,Jan 8 at 22:51,1,30,0,"['minecraft-commands', 'cheats']",False,False
How can I automate starting my Minecraft Server when someone tries to join?,401126,Exo01,298887,Jan 8 at 20:54,0,70,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
"Why would Majora's Mask have needed the Expansion Pak for the ""time mechanics""?",401123,user291937,291937,Jan 8 at 18:08,3,291,4,['minecraft-java-edition'],False,False
Implementing player to player trading with custom heads through dropped in Minecraft 1.19.3,401122,just4funn9,289475,Jan 8 at 12:21,0,42,0,['fifa-18'],True,False
can we play WWE 2k22 online with 2 controllers on same console? - [ps4 version on ps5],401120,Sayed Mohd Ali,238255,Jan 8 at 9:47,0,78,0,"['pc', 'controllers']",True,False
Executing when a player enters a certain area (/execute),401112,FuryRex09,298864,Jan 7 at 23:15,0,51,2,"['minecraft-java-edition', 'mod-identification']",True,False
Can I obtain Kecleon with a Pokéball Plus or gotcha device?,401111,Mathias711,80141,Jan 7 at 23:12,0,351,1,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
Why is my ender portal not working? [duplicate],401110,ZH0519,298863,Jan 7 at 22:25,0,114,2,['genshin-impact'],False,False
Xbox gamebar randomly won't let me paste an image into my message,401108,Millard,249046,Jan 7 at 21:21,0,10,0,['zelda-breath-of-the-wild'],False,False
How do I survive the vampire attack during the Bloodchill Manor quest? UPDATED,401107,Phoenix Dreaming,249046,Jan 7 at 20:33,1,253,2,['puzzle-spy'],False,False
Can min. fps be higher than 0.1% low fps?,401106,Mason Gabe,298859,Jan 7 at 18:23,0,25,0,['borderlands-2'],False,False
How do I change an object's preferred rotation?,401105,amalloy,9729,Jan 7 at 15:56,0,59,1,['geometry-dash'],False,False
How to change Modern Combat 5's ironsights,401102,wili,298839,Jan 7 at 6:30,0,10,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
Controls in arcade version of Turtles in Time,401101,smuggledPancakes,55353,Jan 7 at 3:42,0,15,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How to keep Fallout: New Vegas from repeatedly crashing,401100,Crafter,290704,Jan 7 at 0:26,2,85,1,"['controllers', 'xbox-one', 'windows-10']",False,False
How do you force an end turn in Civilization VI running on iOS?,401098,Gary Roush,298829,Jan 6 at 23:00,0,41,0,['enter-the-gungeon'],False,False
How best to prolong the life of my Steam Deck's battery?,401093,thegreatemu,298821,Jan 6 at 17:22,3,75,1,['hi-fi-rush'],False,False
How to duplicate save data to another Switch from an account without a Nintendo account?,401091,pencil sharpener,298781,Jan 6 at 16:42,1,35,0,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
Can't get a diamond to be given to entity after taming a cat,401090,cat man XVZ,298817,Jan 6 at 16:33,0,57,1,['emperor-rise-of-the-middle-kingdom'],False,False
Is there a faster way to get Amiibo gear,401088,pencil sharpener,298781,Jan 6 at 15:55,0,82,1,"['agar.io', 'diep.io', 'surviv.io']",True,False
Does Pokemon Battle Revolution support CPU vs CPU battles?,401087,Virdeponte,298781,Jan 6 at 12:50,1,50,0,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
Who will get the money at the end of GTA5 and how much? [duplicate],401086,Hidexii,135501,Jan 6 at 12:15,1,59,0,['unity-games'],True,False
I made a skin with a second layer and it shows in the picture but not in the game. How do I fix this?,401082,Raccoon,298795,Jan 5 at 23:23,1,45,2,['pokemon-go'],False,False
Can modern CPUs run PhysX with high FPS?,401079,Bxshkived,298788,Jan 5 at 19:35,0,84,1,['the-witcher-3'],False,False
How many horses can I have in Red Dead Redemption 2? [duplicate],401077,Tyler Gibson,220508,Jan 5 at 17:39,0,31,0,['minecraft-bedrock-edition'],False,False
Is there a Mushroom collector in Paldea?,401073,pinckerman,87579,Jan 5 at 16:25,0,228,1,"['hardware', 'nintendo-ds']",False,False
Do I have to wear the specific Amiibo gear in order to get the rest of the gears? [duplicate],401070,pencil sharpener,298781,Jan 5 at 15:56,1,61,1,"['technical-issues', 'dragonvale']",True,False
Uploading a 1.8 Minecraft world to 1.19,401065,Roger Miranda Perez,293532,Jan 5 at 12:40,0,60,1,"['linux', 'supertux']",False,False
How do I use the different types of command blocks in Minecraft Pocket Edition?,401063,Zukuio Blu,298774,Jan 5 at 9:36,0,33,2,['hogwarts-legacy'],False,False
How far can you go in SkyBlock with limited starting gear?,401061,Vokuar,298767,Jan 5 at 3:46,1,76,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Nemesis Engine: ERROR(2006): Missing behavior file,401058,carl Lexter,298735,Jan 5 at 1:10,1,414,0,['gamedec'],False,False
"Does activating the ""Jaws of the Lion"" DLC in a Guildmaster campaign change the requirements to unlock the scenario ""It's all Just a Game""?",401056,DevAir1,226516,Jan 4 at 20:27,1,29,0,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
"In my custom texture pack where there are no cubes, the ground is invisible",401054,andrecade8,298757,Jan 4 at 19:11,1,24,0,['game-identification'],True,False
What's the term for the combat used in games like Ghost of Tsushima and Spider-Man?,401053,Rob Bell,298749,Jan 4 at 13:25,4,138,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
Destiny: The Taken King - getting to the hangar,401049,RoUS,298749,Jan 4 at 8:12,2,28,0,['valheim'],False,False
Why is this price for Pokémon Diamond so high? [closed],401041,GhostRavenstorm,289618,Jan 3 at 22:56,-2,84,1,['the-sims-4'],False,False
"Why can't I name my Deerling ""Summer Deer""?",401036,F1Krazy,188978,Jan 3 at 18:34,40,7k,1,['evil-genius-2'],False,False
WWE 2k22 for PS4 not loading on my PS5,401029,Sayed Mohd Ali,238255,Jan 3 at 14:16,0,2k,1,['hogwarts-legacy'],False,False
Why isn’t my hopper overflowing into the next chest?,401025,brandon,298683,Jan 2 at 21:54,0,73,2,['hogwarts-legacy'],False,False
Where in the Twanging Gardens can I find ginger?,401024,lofidevops,5138,Jan 2 at 21:46,0,110,0,"['pokemon-series', 'pokemon-second-generation']",False,False
A Plague Tale: Requiem: Getting all skills upgrades,401021,Kobus Myburgh,58562,Jan 2 at 15:42,1,54,0,['minecraft-bedrock-edition'],True,False
Why can't I get match easily in Tekken 7 online?,401018,Sayed Mohd Ali,58562,Jan 2 at 13:03,0,33,0,"['ps4', 'controllers']",True,False
Can't connect to Minecraft server that I can SSH into just fine,401016,Spixa,58562,Jan 2 at 9:42,0,72,0,"['controllers', 'ps5']",False,False
Refund for a Nintendo switch game that does not work online after much effort [closed],401015,Verlayne G,298664,Jan 2 at 9:07,1,59,0,['steam'],False,False
Can mobs that have picked up armor and weapons despawn when it's set to peaceful?,401014,Need Diamonds,298658,Jan 2 at 5:17,1,51,1,['minecraft-java-edition'],False,False
"When a Brawler dies in Brawl Ball, where does his ball go?",401011,Quijibo,145409,Jan 2 at 3:15,0,12,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
Netherite Armor to Elytra,401010,Emmq34,298656,Jan 2 at 2:07,2,86,1,['yu-gi-oh-master-duel'],False,False
"Where is the 'secret' in the daily mission ""Think Fast, Act Fast""?",401009,Alan H.,19589,Jan 2 at 0:39,0,23,1,['game-identification'],True,False
How to delete data pertaining to a specific game for a specific user on Nintendo Switch,401005,Monomeeth,298653,Jan 1 at 23:41,7,678,1,['cities-skylines'],False,False
"Whirly Fan doesn't protect me from overheating with Wurt, bug or feature?",401000,Akixkisu,298653,Jan 1 at 18:56,0,30,0,['minecraft-bedrock-edition'],False,False
"What is the ""correct"" method of locating caves in Ark: Survival Evolved?",400999,Aaargh Zombies,280883,Jan 1 at 18:46,1,73,1,"['minecraft-commands', 'cheats']",False,False
Whats the right command to make a certain item placeable on specific blocks? [duplicate],400994,gray faced,298620,Jan 1 at 7:21,-2,32,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
how to Fly in fortnite?,400992,Sayed Mohd Ali,238255,"Dec 31, 2022 at 22:23",1,64,1,['minecraft-java-edition'],False,False
Link always runs in cemu elmulator,400990,MasterFeline,298606,"Dec 31, 2022 at 17:02",1,58,1,['fifa-18'],True,False
How to read .rou files of autoroutes in patrician3?,400989,Nourless,298602,"Dec 31, 2022 at 14:59",3,26,0,"['pc', 'controllers']",True,False
"""Cannot find a compatible graphics card"" Error when launching Dirt 5",400988,HamidBee,298598,"Dec 31, 2022 at 11:29",1,174,0,"['minecraft-java-edition', 'mod-identification']",True,False
The Stanley Parable (the original game) hang up randomly after few minutes of playing,400987,Quan,297660,"Dec 31, 2022 at 11:22",2,101,1,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
FIFA 23 - Objective Clinchers,400986,Leandro Bardelli,15303,"Dec 31, 2022 at 5:52",0,56,1,['genshin-impact'],False,False
Custom Biome by Y level minecraft datapack,400982,Aceplante,15303,"Dec 30, 2022 at 23:52",2,87,1,['zelda-breath-of-the-wild'],False,False
Has Sega Genesis Cartridge any serial number?,400977,Swalsz,298577,"Dec 30, 2022 at 20:39",0,30,0,['puzzle-spy'],False,False
Is it normal for 4 chickens to spawn from one egg?,400972,Coder2195,261010,"Dec 30, 2022 at 17:14",8,829,1,['borderlands-2'],False,False
Is it possible to find Dusk Lycanroc in the wild?,400967,pinckerman,261010,"Dec 30, 2022 at 11:33",4,314,1,['geometry-dash'],False,False
How do you replay the Weasley Boxes lesson level?,400964,Blackbox,298531,"Dec 30, 2022 at 0:54",0,42,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
How to see which game a Steam key is for? [duplicate],400957,C-Otto,44719,"Dec 29, 2022 at 8:26",2,149,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
"How to fix ""AnselSDK64.dll is either not designed to run on Windows or it contains an error""?",400955,Timmy Jim,44719,"Dec 29, 2022 at 4:00",3,297,1,"['controllers', 'xbox-one', 'windows-10']",False,False
Does lowering your world level affect ascension domains?,400953,nali,298496,"Dec 29, 2022 at 2:59",0,222,2,['enter-the-gungeon'],False,False
How do I disable the maximum rings cutscene?,400951,Stevoisiak,181240,"Dec 29, 2022 at 1:24",0,76,1,['hi-fi-rush'],False,False
How do I fire the cannon in 3-2 towards the right side?,400947,Stevoisiak,181240,"Dec 29, 2022 at 0:24",1,22,0,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
How can a NPC opponent be annoyed by barbarians in a barbarian-free game?,400945,Roddy of the Frozen Peas,44445,"Dec 28, 2022 at 22:59",21,3k,1,['emperor-rise-of-the-middle-kingdom'],False,False
Grayed out options in the Oblivion launcher on Linux Lubuntu 20.04,400943,Heimsk,298482,"Dec 28, 2022 at 20:13",3,111,0,"['agar.io', 'diep.io', 'surviv.io']",True,False
My /tp command doesn't work as intended in command block,400941,Павел Городецкий,298468,"Dec 28, 2022 at 6:56",2,59,1,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
How many Koco are needed per upgrade from Elder Koco?,400934,Stevoisiak,181240,"Dec 27, 2022 at 7:21",0,483,1,['unity-games'],True,False
Does talking to Sonic's friends deplete memory tokens?,400933,Stevoisiak,181240,"Dec 27, 2022 at 6:02",0,25,0,['pokemon-go'],False,False
Can PS4 join a PC Bedrock Edition world and how?,400931,shodo_wolfie_2008,298426,"Dec 27, 2022 at 4:59",2,100,0,['the-witcher-3'],False,False
What does the moon icon on a challenge mean?,400928,Stevoisiak,181240,"Dec 27, 2022 at 4:20",1,56,1,['minecraft-bedrock-edition'],False,False
Was the ending of Scarlet and Violet changed for Chinese audiences?,400927,Laurel,153006,"Dec 27, 2022 at 3:36",4,151,0,"['hardware', 'nintendo-ds']",False,False
How do I get the airborne memory token near M-013?,400926,Stevoisiak,181240,"Dec 27, 2022 at 3:26",0,125,0,"['technical-issues', 'dragonvale']",True,False
Move save from Xenia Canary to Xbox 360,400925,mhay10,298424,"Dec 27, 2022 at 1:28",0,155,0,"['linux', 'supertux']",False,False
How long is the day-night cycle in Sonic Frontiers?,400922,Stevoisiak,181240,"Dec 26, 2022 at 20:49",0,1k,0,['hogwarts-legacy'],False,False
How do I equip the DLC outfits?,400921,Stevoisiak,181240,"Dec 26, 2022 at 19:15",1,58,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How can I revive someone without being next to them in Neverwinter?,400920,Mithical,175879,"Dec 26, 2022 at 19:11",3,38,0,['gamedec'],False,False
How do I get from the top of the skyscraper to the water without touching the ground?,400918,Jake Lee,16503,"Dec 26, 2022 at 16:24",1,13,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Is there a command to remove moving blocks?,400917,Michael Pierce,298409,"Dec 26, 2022 at 15:46",0,61,0,['game-identification'],True,False
How can I make multiple pulses with a comparator? Bedrock,400916,Lucas the dukest E,298409,"Dec 26, 2022 at 15:41",0,39,0,"['minecraft-java-edition', 'minecraft-commands']",False,False
How to get into the path at the ending of level 3 in Dangerous Dave Clyde's hideout?,400915,kesarling He-Him,236193,"Dec 26, 2022 at 15:16",0,15,0,['valheim'],False,False
"What is this 2017 or earlier party-based, turn-based, iOS RPG set in a digital cyberspace?",400910,Robert Wertz,103981,"Dec 26, 2022 at 6:00",12,1k,1,['the-sims-4'],False,False
What's the timing for the fish cooking minigame?,400909,Stevoisiak,181240,"Dec 26, 2022 at 5:45",1,54,0,['evil-genius-2'],False,False
What does this green switch with a crystal on Kronos Island do?,400908,Stevoisiak,181240,"Dec 26, 2022 at 5:24",1,95,1,['hogwarts-legacy'],False,False
What determines how many gems I lose when I die?,400907,Stevoisiak,181240,"Dec 26, 2022 at 4:42",2,9,0,['hogwarts-legacy'],False,False
Steam streaming changes my default communication device,400906,Stevoisiak,181240,"Dec 26, 2022 at 4:15",1,86,0,"['pokemon-series', 'pokemon-second-generation']",False,False
A Plague Tale: Requiem: Location of Hugo's cure,400900,Kobus Myburgh,58562,"Dec 25, 2022 at 21:29",1,38,0,['minecraft-bedrock-edition'],True,False
Execute command doesn't work (Bedrock),400895,Mayo,298371,"Dec 25, 2022 at 19:33",0,70,1,"['ps4', 'controllers']",True,False
How do I view the letters I've sent?,400890,Stevoisiak,181240,"Dec 25, 2022 at 19:22",0,11,0,"['controllers', 'ps5']",False,False
Elden Ring - PS4. Games does not start,400886,Amiga500,181240,"Dec 25, 2022 at 10:18",0,44,0,['steam'],False,False
Why is my tick so large?,400885,Ogiwara Sayu,298353,"Dec 25, 2022 at 5:09",0,64,0,['minecraft-java-edition'],False,False
How do I get from the marked lantern to the hot tub without touching any snow?,400882,Jake Lee,298353,"Dec 25, 2022 at 1:50",5,548,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
What is this purple icon on top of the Monkey Buccaneer?,400878,nightblade9,205778,"Dec 24, 2022 at 20:35",3,256,1,['yu-gi-oh-master-duel'],False,False
"Whenever I press the accept button for friend requests on Fortnite, it doesn't work",400877,Phoenix F,298341,"Dec 24, 2022 at 19:55",0,630,0,['game-identification'],True,False
Do Chaos's move-specific damage buffs apply to Ares's doom damage?,400874,Stevoisiak,181240,"Dec 24, 2022 at 16:59",0,21,0,['cities-skylines'],False,False
Are there any Cheats for Dangerous Dave in the Haunted Mansion?,400873,kesarling He-Him,236193,"Dec 24, 2022 at 16:39",0,17,0,['minecraft-bedrock-edition'],False,False
"Xbox One bluetooth controller doesn't register two trigger presses at the same time, how to fix?",400872,plu,209902,"Dec 24, 2022 at 3:15",0,66,2,"['minecraft-commands', 'cheats']",False,False
Lego Flash/Shockwave game with an Indiana Jones vibe from the early 2000s,400866,zdimension,298317,"Dec 23, 2022 at 14:27",1,92,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
How do you test when a command block does not sense a block?,400865,3pics1ash,271997,"Dec 23, 2022 at 14:17",1,135,1,['minecraft-java-edition'],False,False
"How do I go back to get Force Push on Zeffo after advancing, not knowing I needed it?",400863,Kouda Layne,271997,"Dec 23, 2022 at 4:48",0,138,0,['fifa-18'],True,False
Did the bounty to win +1 shed level work from 3 to 4 or only 2 to 3?,400855,Blag,171238,"Dec 22, 2022 at 22:30",0,18,1,"['pc', 'controllers']",True,False
How to summon mob with a different name and custom attributes [duplicate],400854,VeryHotClara,298211,"Dec 22, 2022 at 21:14",0,69,1,"['minecraft-java-edition', 'mod-identification']",True,False
"How many unstated reward triggers, like Getting all Eavesdropping and Cameras, are there?",400851,Malady,298211,"Dec 22, 2022 at 19:04",0,15,0,"['minecraft-java-edition', 'minecraft-java-edition-server', 'windows', 'networking']",True,False
How can I transfer my Minecraft world from one computer to another?,400847,Superluminal,245353,"Dec 22, 2022 at 13:20",0,120,1,['genshin-impact'],False,False
How to complete this map in Castlevania? [duplicate],400845,Richie,23159,"Dec 22, 2022 at 10:54",0,42,0,['zelda-breath-of-the-wild'],False,False
How to make a command that will triggers on death of a player? [duplicate],400844,Bảo Khánh,298283,"Dec 22, 2022 at 10:31",0,59,1,['puzzle-spy'],False,False
I killed Kesh before starting “The Only Cure”—how can I continue the quest?,400842,Hayden,298278,"Dec 22, 2022 at 6:50",2,108,1,['borderlands-2'],False,False
Can I avoid getting progression-skipping items from the Digital Deluxe Edition?,400839,Stevoisiak,181240,"Dec 22, 2022 at 1:14",1,51,1,['geometry-dash'],False,False
How can I get stone if there is only sand everywhere?,400836,AlphaCentauri,227200,"Dec 21, 2022 at 23:12",3,322,1,"['minecraft-java-edition', 'minecraft-commands']",False,False
Is the Xbox One power cable backward compatible with the original Xbox?,400835,Shadow43375,298269,"Dec 21, 2022 at 22:38",1,39,1,"['minecraft-commands', 'minecraft-bedrock-edition']",False,False
Does anyone know how to give a pillager arrows?,400832,VeryHotClara,298211,"Dec 21, 2022 at 19:37",1,35,0,"['controllers', 'xbox-one', 'windows-10']",False,False
"How to turn off the ""Hey, look at that -- Points!"" notifications from Xbox Game Bar?",400829,Jason C,71031,"Dec 21, 2022 at 14:35",2,756,1,['enter-the-gungeon'],False,False
How to stop the ground/terrain from changing when constructing buildings?,400827,ifti islam,298259,"Dec 21, 2022 at 12:12",0,16,0,['hi-fi-rush'],False,False
How do I use the 64-Bit Tonic without lowering the framerate?,400823,Stevoisiak,181240,"Dec 21, 2022 at 6:02",2,78,1,"['minecraft-java-edition', 'minecraft-java-edition-server']",False,False
Is there a way to access the designation menu in the Steam version of Dwarf Fortress?,400818,aslum,1804,"Dec 21, 2022 at 0:16",0,257,1,['emperor-rise-of-the-middle-kingdom'],False,False
Modded original Wii w/USB HD - How to back up HD,400817,BMD2K1,298240,"Dec 20, 2022 at 23:47",0,23,0,"['agar.io', 'diep.io', 'surviv.io']",True,False
How can I play GTA roleplay on PS5?,400816,Sayed Mohd Ali,238255,"Dec 20, 2022 at 22:53",0,683,0,"['minecraft-java-edition', 'technical-issues', 'minecraft-launcher']",True,False
Does online play still work on Jump Force for PS4?,400814,Sayed Mohd Ali,238255,"Dec 20, 2022 at 21:14",-1,96,1,['unity-games'],True,False
How to take perfect free kicks near goal?,400813,Sayed Mohd Ali,238255,"Dec 20, 2022 at 17:09",0,19,0,['pokemon-go'],False,False
Streaming web based controller games with Steam,400812,Luke,49484,"Dec 20, 2022 at 13:21",2,66,0,['the-witcher-3'],False,False
